customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUS-00000,Male,1,Yes,Yes,67,Yes,No phone service,DSL,Yes,No internet service,Month-to-month,Yes,Electronic check,104.27,5307.15,No
CUS-00001,Female,0,No,No,53,Yes,No phone service,No,No internet service,Yes,Two year,No,Bank transfer,48.11,1479.55,No
CUS-00002,Male,0,No,Yes,56,Yes,Yes,Fiber optic,Yes,No internet service,Two year,Yes,Bank transfer,33.63,5908.78,No
CUS-00003,Male,1,No,No,22,Yes,Yes,Fiber optic,Yes,No internet service,Month-to-month,Yes,Electronic check,116.58,3900.08,Yes
CUS-00004,Male,0,No,No,59,Yes,No,Fiber optic,No,Yes,Two year,Yes,Electronic check,76.38,4458.17,No
CUS-00005,Female,0,Yes,No,54,Yes,Yes,Fiber optic,No internet service,No,One year,Yes,Electronic check,47.92,278.18,Yes
CUS-00006,Male,0,Yes,No,62,Yes,No,Fiber optic,No internet service,No internet service,Two year,Yes,Credit card,70.25,6579.43,No
CUS-00007,Male,0,No,No,55,Yes,Yes,DSL,Yes,No internet service,Month-to-month,Yes,Mailed check,78.72,7187.64,No
CUS-00008,Male,0,No,Yes,54,No,No phone service,No,Yes,No internet service,Two year,Yes,Mailed check,51.45,5333.88,Yes
CUS-00009,Female,0,No,No,24,Yes,Yes,No,No,No internet service,Month-to-month,No,Credit card,95.47,6443.55,No
CUS-00010,Male,0,No,Yes,25,No,No,Fiber optic,No,No,Month-to-month,No,Credit card,22.03,4503.86,No
CUS-00011,Male,0,No,Yes,48,Yes,No,DSL,Yes,No internet service,Month-to-month,No,Credit card,42.38,5324.71,No
CUS-00012,Male,1,No,No,62,Yes,No phone service,DSL,Yes,No,Two year,No,Bank transfer,49.53,3404.21,No
CUS-00013,Male,0,Yes,No,44,No,No phone service,No,No internet service,No,Two year,No,Mailed check,91.08,6813.86,No
CUS-00014,Female,0,No,Yes,38,Yes,No phone service,Fiber optic,Yes,No internet service,Two year,Yes,Mailed check,98.44,4036.7,No
CUS-00015,Male,0,No,No,64,Yes,No,No,No,Yes,Two year,Yes,Electronic check,81.13,5855.59,Yes
CUS-00016,Female,0,No,No,68,Yes,Yes,DSL,Yes,No,Month-to-month,No,Electronic check,51.49,5351.11,No
CUS-00017,Female,0,No,No,55,Yes,Yes,Fiber optic,No internet service,Yes,Month-to-month,Yes,Mailed check,44.42,6045.26,Yes
CUS-00018,Female,0,No,No,8,Yes,No,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Bank transfer,58.1,6756.72,Yes
CUS-00019,Male,0,No,No,69,Yes,No,Fiber optic,No internet service,Yes,Month-to-month,Yes,Mailed check,62.37,4418.11,No
CUS-00020,Female,1,No,No,27,Yes,No,DSL,No internet service,Yes,Month-to-month,Yes,Electronic check,78.04,6995.73,No
CUS-00021,Male,0,Yes,No,44,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer,86.45,4285.46,No
CUS-00022,Female,0,No,Yes,25,Yes,Yes,DSL,No,Yes,Month-to-month,No,Bank transfer,56.19,8227.84,No
CUS-00023,Female,0,Yes,No,27,Yes,No phone service,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.13,6477.43,No
CUS-00024,Female,0,No,No,39,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,62.39,1486.74,Yes
CUS-00025,Female,0,Yes,No,14,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Credit card,54.52,7137.49,No
CUS-00026,Female,1,Yes,No,5,Yes,No phone service,No,No internet service,No internet service,Two year,Yes,Mailed check,24.03,4751.73,Yes
CUS-00027,Female,0,Yes,Yes,26,Yes,Yes,No,No internet service,Yes,One year,No,Electronic check,38.75,8466.64,No
CUS-00028,Female,1,Yes,No,37,Yes,No,DSL,No,No,Two year,Yes,Bank transfer,59.91,6186.91,No
CUS-00029,Female,0,No,Yes,67,Yes,No,Fiber optic,No,No,Month-to-month,No,Bank transfer,73.87,742.24,No
CUS-00030,Male,0,Yes,No,63,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer,73.01,3407.55,No
CUS-00031,Male,0,No,No,29,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,39.44,4457.26,No
CUS-00032,Female,1,No,No,2,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,41.31,7218.41,Yes
CUS-00033,Female,0,No,No,61,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer,89.8,6277.24,No
CUS-00034,Female,0,No,No,11,Yes,No,Fiber optic,No,No internet service,Month-to-month,No,Mailed check,52.47,3187.85,No
CUS-00035,Male,0,Yes,Yes,29,No,Yes,DSL,No,Yes,Month-to-month,Yes,Bank transfer,37.12,5625.76,No
CUS-00036,Female,0,No,Yes,37,Yes,No phone service,Fiber optic,No,No,Month-to-month,Yes,Electronic check,63.77,4969.05,Yes
