Id,Neighborhood,OverallQual,OverallCond,YearBuilt,ExterQual,TotalBsmtSF,GrLivArea,BedroomAbvGr,FullBath,GarageCars,GarageArea,LotArea,SaleType,SalePrice
1,Downtown,10,8,1953,Fa,1091.789563477173,1644.069627627476,4,2,2,799.0,10984.454917136605,WD,302844
2,Suburbs,9,5,2021,TA,852.3813837277021,1718.0146330750404,4,2,2,601.0,7101.986464847738,WD,242119
3,Rural,8,1,1995,TA,1531.9398070270508,930.2065946348051,5,3,2,439.0,11419.652324262588,New,126246
4,Waterfront,5,5,1979,TA,593.6718451758979,1796.825191686503,4,1,2,396.0,9604.393141688142,WD,407669
5,Rural,2,7,1949,Ex,730.2322288334516,1813.634933647926,6,2,1,346.0,2154.7424783238703,WD,187762
6,Suburbs,10,6,1932,Gd,931.497088638053,1818.0578513336002,3,1,2,461.0,11480.026891281166,WD,214135
7,Historic,6,2,1947,TA,959.0853457706968,2661.54171292002,3,2,2,686.0,4245.618817636052,New,407434
8,Suburbs,10,2,2000,Ex,547.3250326992072,1348.0293975005202,1,2,2,677.0,6460.636188008026,WD,169351
9,Rural,5,7,1989,Gd,201.86189993095786,615.5275822244407,5,2,2,799.0,8907.683212518084,WD,104284
10,Suburbs,4,1,1985,Gd,1142.217263997342,1791.92163216623,3,3,2,399.0,8882.783301127707,WD,261112
11,Suburbs,8,1,1997,TA,1131.0184368812068,2493.9064626550717,4,2,2,602.0,9149.982614620498,New,363660
12,Suburbs,8,2,1943,Ex,1681.1339340462446,459.1207914415834,3,2,3,1000.0,11591.773460429733,WD,78616
13,Waterfront,8,2,1984,TA,1500.7336316178353,1709.2106487248038,5,2,2,445.0,8811.43429032138,WD,392976
14,Downtown,5,9,2017,TA,1026.4707426804364,1789.156887332885,5,4,3,1053.0,8474.645394542464,WD,363871
15,Suburbs,6,1,1926,Gd,729.9130809845421,1319.8603542112562,1,3,2,588.0,12600.43174282142,WD,144913
16,Downtown,3,5,1929,Gd,1451.3429132826514,666.5526163182121,4,3,1,262.0,7761.417510693645,COD,100179
17,Rural,6,5,1975,TA,660.588734852867,2977.6475542772105,1,2,0,0.0,7653.513971726699,WD,254850
18,Downtown,3,6,1999,TA,1357.1402102892148,1632.444175368286,2,2,1,,9344.567243909827,WD,256691
19,Downtown,8,4,1938,TA,426.08539098380425,1167.839309564772,1,1,2,701.0,14001.052931893319,WD,165382
20,Rural,9,3,1945,Gd,1786.3393232691028,2580.808036119771,1,3,2,783.0,5935.490853586996,WD,236220
21,Suburbs,5,9,1967,Fa,572.7156222459196,853.1160683764589,3,2,1,324.0,2851.3889016598823,WD,96360
22,Historic,9,9,1976,Gd,,1275.9918978137657,3,2,3,685.0,7969.521385468257,WD,219804
23,Historic,8,8,1966,Gd,237.39142496588192,670.9628290656551,3,1,3,620.0,12191.107005804202,WD,159863
24,Suburbs,8,1,2019,Gd,841.0670539368741,1037.8561381379377,2,2,2,397.0,9754.202303104026,WD,144432
25,Downtown,2,2,1957,Gd,1174.3843794073698,1212.4109365849017,3,2,1,304.0,6455.415195181966,WD,209194
26,Suburbs,8,3,1980,TA,760.8936139779682,2061.7308261786975,4,2,2,751.0,8020.006364639202,WD,340299
27,Historic,5,2,1976,TA,644.5271015528401,2443.637843968261,3,1,1,270.0,5050.761083819774,WD,313252
28,Rural,6,8,1953,Gd,420.3558333994613,2480.5089626233157,3,2,1,213.0,2652.3834053339306,WD,232147
29,Waterfront,9,6,2011,Gd,1111.937282332806,1540.4275861971566,3,3,1,278.0,7146.990045583226,COD,354666
30,Suburbs,2,8,1999,TA,1278.1454895456507,2579.335780500346,4,2,3,1064.0,5013.247271257257,WD,364838
31,Downtown,10,4,1976,Gd,1065.4314706728107,893.7608901836414,4,3,2,703.0,7061.044053051059,WD,143068
32,Historic,1,7,2006,TA,1276.9040066723983,2778.2443920918095,3,1,1,267.0,3536.6726105609678,WD,402620
33,Suburbs,2,9,2006,TA,513.9177065186802,1743.154652382242,4,2,0,0.0,13166.025458256643,WD,219463
34,Downtown,2,4,1927,TA,746.8363713855498,2441.0118594559185,3,2,2,638.0,10844.484602598342,WD,391367
